Ref_Interna,Marca,Modelo,Material,Color,Herrajes,Año_Fabricacion,Estado_General,Disponibilidad,Has_Box,Has_Papers,Has_Dustbag,Has_Receipt,Sourcing_Type,Precio_Retail_USD,Coste_Compra_EUR,Precio_Venta_EUR,Margen_Bruto_EUR,Margen_Pct,Descripcion_Corta
HP-38484,Louis Vuitton,Alma BB,Epi Leather,Gris Asfalto,Oro Viejo,2021,AB - Muy bueno,En Stock (24h),True,False,True,True,Owned,1980,1349,1804,455,25.2,Estructura Art Deco atemporal.
HP-44494,Bottega Veneta,The Pouch,Butter Calf,Gold,Champagne,2022,A - Excelente,En Stock (24h),False,True,True,True,Owned,3200,1840,2968,1128,38.0,El clutch que inició la era.
HP-20456,Dior,Lady Dior Mini,Satin/Strass,Craie,Paladio (PHW),2024,AB - Muy bueno,Bajo Pedido (15 días),True,True,True,False,Owned,5300,3025,4747,1722,36.3,Joya de noche.
HP-49834,Chanel,Chanel 19 Large,Goatskin,Gris Asfalto,Rutenio,2018,B - Buen estado,Reservado,True,False,True,False,Owned,7100,3005,4785,1780,37.2,Modernidad con acolchado maxi.
HP-57838,Bottega Veneta,Cassette Padded,Lambskin,Verde,Rutenio,2018,B - Buen estado,En Stock (24h),True,True,True,True,Consignment,4500,3143,3742,599,16.0,El Intrecciato maxi.
HP-15829,Fendi,Baguette 1997,Zucca Canvas,Rouge H,Oro Viejo,2019,A - Excelente,En Stock (24h),False,True,True,False,Consignment,3200,2420,2968,548,18.5,"It's not a bag, it's a Baguette."
HP-40121,Chanel,Boy Bag Old Medium,Calfskin,Craie,Paladio (PHW),2019,N - Nuevo,En Stock (24h),False,True,True,True,Consignment,6700,7166,8469,1303,15.4,Estilo rock-chic con bordes gráficos.
HP-31354,Gucci,Marmont Matelassé Small,Leather,Negro,Oro (GHW),2022,N - Nuevo,En Stock (24h),True,False,True,False,Owned,2550,2095,2932,837,28.5,El superventas de la década.
HP-72463,Prada,Cleo Brushed,Spazzolato,Azul Marino,Champagne,2025,N - Nuevo,Reservado,False,True,True,False,Consignment,2900,3209,3812,603,15.8,Futurismo retro.
HP-25925,Dior,Book Tote Medium,Toile de Jouy,Rouge H,Oro Viejo,2020,AB - Muy bueno,En Sourcing,True,False,True,True,Owned,3300,1997,2952,955,32.3,El bolso de viaje de la élite.
HP-92383,Chanel,Chanel 19 Large,Goatskin,Negro,Oro Viejo,2021,A - Excelente,Reservado,False,False,True,False,Owned,7100,4178,6725,2547,37.9,Modernidad con acolchado maxi.
HP-62304,Gucci,Horsebit 1955,GG Supreme,Gold,Oro Viejo,2024,AB - Muy bueno,En Stock (24h),True,True,True,True,Owned,2890,2034,3028,994,32.8,Estilo ecuestre vintage.
HP-69077,Hermès,Birkin 30,Epsom,Verde,Oro Viejo,2018,AB - Muy bueno,Reservado,True,True,True,False,Consignment,11200,8434,10072,1638,16.3,"Tamaño clásico, estructura rígida."
HP-49949,Fendi,Peekaboo ISeeU Small,Selleria,Craie,Paladio (PHW),2019,A - Excelente,En Stock (24h),True,True,True,True,Consignment,5400,4697,6001,1304,21.7,Artesanía romana.
HP-86704,Prada,Galleria Saffiano Small,Saffiano,Negro,Champagne,2018,N - Nuevo,Bajo Pedido (15 días),False,False,True,False,Consignment,3600,3571,4386,815,18.6,El maletín ejecutivo.
HP-36014,Chanel,Wallet on Chain (WOC),Caviar,Rouge H,Champagne,2018,N - Nuevo,En Sourcing,False,True,True,True,Owned,3500,2747,4444,1697,38.2,El esencial de entrada a la marca.
HP-98253,Dior,Book Tote Medium,Toile de Jouy,Azul Marino,Champagne,2022,A - Excelente,Bajo Pedido (15 días),True,True,True,False,Owned,3300,2176,3425,1249,36.5,El bolso de viaje de la élite.
HP-12701,Dior,Book Tote Medium,Toile de Jouy,Verde,Rutenio,2023,A - Excelente,Bajo Pedido (15 días),False,False,True,True,Consignment,3300,2655,3300,645,19.5,El bolso de viaje de la élite.
HP-65384,Celine,Belt Bag Nano,Grained Calf,Azul Marino,Oro (GHW),2020,N - Nuevo,En Stock (24h),True,True,True,False,Owned,2300,1796,2766,970,35.1,Funcionalidad y discreción.
HP-32252,Loewe,Puzzle Mini,Satin Calf,Gris Asfalto,Oro (GHW),2022,N - Nuevo,En Sourcing,False,True,True,False,Owned,2400,1759,2948,1189,40.3,El favorito de las influencers.
HP-84704,Bottega Veneta,Cassette Padded,Lambskin,Negro,Champagne,2020,N - Nuevo,Reservado,True,False,True,False,Owned,4500,3638,5522,1884,34.1,El Intrecciato maxi.
HP-53344,Louis Vuitton,Onthego GM,Giant Monogram,Negro,Oro Viejo,2021,A - Excelente,Bajo Pedido (15 días),True,False,True,False,Consignment,3100,2471,2952,481,16.3,Maxi logo para impacto visual.
HP-90744,Louis Vuitton,Pochette Métis,Monogram Reverse,Gold,Paladio (PHW),2023,A - Excelente,Bajo Pedido (15 días),False,True,True,True,Owned,2700,1584,2815,1231,43.7,El satchel perfecto para diario.
HP-72567,Dior,Book Tote Medium,Toile de Jouy,Gris Asfalto,Paladio (PHW),2021,A - Excelente,En Stock (24h),False,False,True,False,Consignment,3300,2693,3210,517,16.1,El bolso de viaje de la élite.
HP-45920,Bottega Veneta,The Pouch,Butter Calf,Negro,Oro (GHW),2020,A - Excelente,Bajo Pedido (15 días),True,True,True,True,Consignment,3200,2986,3555,569,16.0,El clutch que inició la era.
HP-62127,Chanel,Boy Bag Old Medium,Calfskin,Negro,Oro Viejo,2021,A - Excelente,Bajo Pedido (15 días),False,True,True,False,Owned,6700,3783,6487,2704,41.7,Estilo rock-chic con bordes gráficos.
HP-41537,Bottega Veneta,Jodie Teen,Suede Intrecciato,Beige Trench,Champagne,2025,A - Excelente,En Stock (24h),True,False,True,False,Owned,3500,1950,3179,1229,38.7,Tamaño perfecto para diario.
HP-33181,Gucci,Horsebit 1955,GG Supreme,Negro,Oro Viejo,2023,A - Excelente,Reservado,False,True,True,False,Owned,2890,1897,2786,889,31.9,Estilo ecuestre vintage.
HP-76089,Fendi,Fendi First Small,Nappa,Negro,Paladio (PHW),2020,N - Nuevo,En Stock (24h),True,True,True,False,Owned,3400,3027,4237,1210,28.5,La F arquitectónica.
HP-76878,Gucci,Marmont Matelassé Small,Leather,Beige Trench,Oro Viejo,2023,A - Excelente,En Stock (24h),False,False,True,False,Owned,2550,1798,2613,815,31.2,El superventas de la década.
HP-87374,Celine,Ava Bag,Triomphe Canvas,Gris Asfalto,Champagne,2023,AB - Muy bueno,Bajo Pedido (15 días),False,False,True,True,Owned,1700,1116,1530,414,27.0,La silueta de media luna.
HP-55484,Bottega Veneta,Jodie Mini,Intrecciato,Craie,Oro Viejo,2022,A - Excelente,Bajo Pedido (15 días),False,False,True,False,Consignment,2650,2162,2578,416,16.1,El nudo viral.
HP-70290,Bottega Veneta,Jodie Teen,Suede Intrecciato,Beige Trench,Paladio (PHW),2024,A - Excelente,Bajo Pedido (15 días),True,False,True,True,Consignment,3500,3022,3615,593,16.4,Tamaño perfecto para diario.
HP-60916,Fendi,Fendi First Small,Nappa,Azul Marino,Oro (GHW),2020,A - Excelente,Bajo Pedido (15 días),False,False,True,False,Owned,3400,1800,3111,1311,42.1,La F arquitectónica.
HP-20392,Celine,Ava Bag,Triomphe Canvas,Rouge H,Rutenio,2021,AB - Muy bueno,En Stock (24h),False,False,True,False,Consignment,1700,1142,1425,283,19.9,La silueta de media luna.
HP-78280,Chanel,Wallet on Chain (WOC),Caviar,Craie,Rutenio,2020,AB - Muy bueno,Bajo Pedido (15 días),True,False,True,True,Owned,3500,1622,2938,1316,44.8,El esencial de entrada a la marca.
HP-13453,Prada,Galleria Saffiano Small,Saffiano,Azul Marino,Champagne,2025,AB - Muy bueno,En Stock (24h),False,True,True,False,Owned,3600,1919,3343,1424,42.6,El maletín ejecutivo.
HP-79365,Chanel,Classic Flap Small,Lambskin,Azul Marino,Rutenio,2019,AB - Muy bueno,En Sourcing,True,False,True,True,Owned,9600,5297,8734,3437,39.3,"Suavidad extrema, cuidado delicado."
HP-22709,Chanel,Boy Bag Old Medium,Calfskin,Gold,Oro (GHW),2018,AB - Muy bueno,Bajo Pedido (15 días),True,True,True,False,Owned,6700,3656,5467,1811,33.1,Estilo rock-chic con bordes gráficos.
HP-32725,Celine,Ava Bag,Triomphe Canvas,Rouge H,Paladio (PHW),2020,A - Excelente,En Stock (24h),False,False,True,False,Consignment,1700,1365,1741,376,21.6,La silueta de media luna.
HP-86182,Loewe,Puzzle Small,Classic Calf,Craie,Oro (GHW),2024,AB - Muy bueno,Bajo Pedido (15 días),False,True,True,True,Owned,3100,1648,2865,1217,42.5,Obra maestra geométrica.
HP-89240,Dior,Book Tote Medium,Toile de Jouy,Negro,Rutenio,2022,A - Excelente,En Stock (24h),False,False,True,False,Owned,3300,1866,3164,1298,41.0,El bolso de viaje de la élite.
HP-50707,Prada,Cleo Brushed,Spazzolato,Azul Marino,Oro (GHW),2022,AB - Muy bueno,En Stock (24h),False,True,True,False,Consignment,2900,1987,2345,358,15.2,Futurismo retro.
HP-30404,Hermès,Constance 18,Evercolor,Azul Marino,Paladio (PHW),2018,N - Nuevo,En Sourcing,True,False,True,False,Owned,8900,6613,10412,3799,36.5,La H icónica. Perfecto para crossbody.
HP-41775,Gucci,Dionysus Small,GG Supreme,Rouge H,Rutenio,2025,AB - Muy bueno,En Sourcing,True,True,True,False,Owned,2980,1547,2700,1153,42.7,Cierre de cabeza de tigre mitológico.
HP-41692,Dior,Lady Dior ABC (Small),Lambskin,Etoupe,Oro Viejo,2024,AB - Muy bueno,En Stock (24h),False,False,True,False,Consignment,5900,4299,5323,1024,19.2,El bolso de la Princesa Diana.
HP-97620,Fendi,Fendi First Small,Nappa,Azul Marino,Oro Viejo,2020,AB - Muy bueno,En Sourcing,True,False,True,False,Owned,3400,2120,3173,1053,33.2,La F arquitectónica.
HP-51067,Fendi,Peekaboo ISeeU Small,Selleria,Verde,Paladio (PHW),2023,A - Excelente,En Stock (24h),False,False,True,False,Consignment,5400,4240,5275,1035,19.6,Artesanía romana.
HP-20783,Hermès,Kelly 28 Sellier,Box Calf,Gold,Champagne,2022,AB - Muy bueno,Reservado,True,False,True,False,Owned,12500,7382,11241,3859,34.3,Elegancia estructurada con costuras visibles.
HP-42881,Dior,Book Tote Medium,Toile de Jouy,Negro,Rutenio,2018,A - Excelente,En Stock (24h),False,True,True,False,Consignment,3300,2694,3406,712,20.9,El bolso de viaje de la élite.
HP-38721,Bottega Veneta,Jodie Mini,Intrecciato,Verde,Oro (GHW),2023,A - Excelente,En Stock (24h),False,True,True,False,Consignment,2650,2281,2762,481,17.4,El nudo viral.
HP-32613,Chanel,Chanel 19 Large,Goatskin,Negro,Oro (GHW),2022,AB - Muy bueno,En Stock (24h),True,False,True,True,Consignment,7100,5471,6605,1134,17.2,Modernidad con acolchado maxi.
HP-53245,Dior,Book Tote Medium,Toile de Jouy,Etoupe,Oro (GHW),2020,AB - Muy bueno,En Stock (24h),False,True,True,True,Owned,3300,1756,2695,939,34.8,El bolso de viaje de la élite.
HP-58081,Hermès,Constance 18,Evercolor,Rouge H,Oro (GHW),2021,A - Excelente,En Stock (24h),False,True,True,False,Owned,8900,5493,8531,3038,35.6,La H icónica. Perfecto para crossbody.
HP-92405,Gucci,Horsebit 1955,GG Supreme,Gold,Oro (GHW),2019,A - Excelente,En Stock (24h),True,False,True,True,Owned,2890,1747,2960,1213,41.0,Estilo ecuestre vintage.
HP-78584,Dior,30 Montaigne,Box Calf,Verde,Oro Viejo,2019,A - Excelente,En Stock (24h),True,True,True,False,Owned,3900,2698,4005,1307,32.6,Elegancia minimalista con cierre CD.
HP-83520,Bottega Veneta,Jodie Mini,Intrecciato,Beige Trench,Champagne,2020,A - Excelente,En Stock (24h),True,False,True,False,Owned,2650,1618,2648,1030,38.9,El nudo viral.
HP-66325,Celine,Belt Bag Nano,Grained Calf,Gold,Paladio (PHW),2023,AB - Muy bueno,En Stock (24h),False,False,True,False,Consignment,2300,1688,2134,446,20.9,Funcionalidad y discreción.
HP-93038,Chanel,Chanel 19 Large,Goatskin,Rouge H,Champagne,2019,AB - Muy bueno,En Stock (24h),False,False,True,True,Consignment,7100,4584,5792,1208,20.9,Modernidad con acolchado maxi.
HP-99449,Fendi,Baguette 1997,Zucca Canvas,Verde,Rutenio,2023,N - Nuevo,Bajo Pedido (15 días),False,True,True,False,Consignment,3200,2975,3708,733,19.8,"It's not a bag, it's a Baguette."
HP-30957,Chanel,Chanel 19 Large,Goatskin,Etoupe,Oro Viejo,2020,AB - Muy bueno,Bajo Pedido (15 días),False,True,True,False,Owned,7100,3804,6037,2233,37.0,Modernidad con acolchado maxi.
HP-14951,Dior,Book Tote Medium,Toile de Jouy,Craie,Rutenio,2023,AB - Muy bueno,Bajo Pedido (15 días),False,False,True,False,Consignment,3300,2578,3083,505,16.4,El bolso de viaje de la élite.
HP-40589,Loewe,Puzzle Small,Classic Calf,Verde,Rutenio,2023,A - Excelente,En Stock (24h),True,False,True,False,Owned,3100,1858,2826,968,34.3,Obra maestra geométrica.
HP-43557,Celine,Ava Bag,Triomphe Canvas,Azul Marino,Champagne,2025,A - Excelente,Bajo Pedido (15 días),False,False,True,False,Owned,1700,1120,1593,473,29.6,La silueta de media luna.
HP-96960,Chanel,Chanel 19 Large,Goatskin,Gold,Champagne,2021,A - Excelente,En Stock (24h),False,False,True,False,Owned,7100,4776,7284,2508,34.4,Modernidad con acolchado maxi.
HP-31258,Loewe,Puzzle Mini,Satin Calf,Rouge H,Rutenio,2018,AB - Muy bueno,En Sourcing,False,False,True,False,Consignment,2400,1708,2099,391,18.6,El favorito de las influencers.
HP-75538,Gucci,Jackie 1961 Small,GG Supreme,Verde,Paladio (PHW),2023,A - Excelente,En Stock (24h),False,False,True,False,Consignment,2950,2561,3023,462,15.3,El hobo bag renacido.
HP-18145,Hermès,Birkin 25,Togo,Gold,Oro (GHW),2025,N - Nuevo,Bajo Pedido (15 días),True,False,True,True,Consignment,10400,10000,12299,2299,18.7,El bolso más deseado del mundo.
HP-43367,Dior,30 Montaigne,Box Calf,Craie,Champagne,2025,A - Excelente,En Stock (24h),True,False,True,False,Consignment,3900,3132,3877,745,19.2,Elegancia minimalista con cierre CD.
HP-46602,Louis Vuitton,Alma BB,Epi Leather,Verde,Champagne,2018,AB - Muy bueno,Bajo Pedido (15 días),False,True,True,False,Owned,1980,969,1694,725,42.7,Estructura Art Deco atemporal.
HP-79147,Bottega Veneta,Cassette Padded,Lambskin,Craie,Rutenio,2018,B - Buen estado,En Stock (24h),True,True,True,False,Owned,4500,2266,3034,768,25.3,El Intrecciato maxi.
HP-72678,Louis Vuitton,Alma BB,Epi Leather,Verde,Oro Viejo,2019,A - Excelente,En Stock (24h),False,False,True,True,Owned,1980,1402,1898,496,26.1,Estructura Art Deco atemporal.
HP-66616,Bottega Veneta,Jodie Teen,Suede Intrecciato,Gold,Oro (GHW),2019,A - Excelente,Bajo Pedido (15 días),True,True,True,False,Owned,3500,2387,3620,1233,34.0,Tamaño perfecto para diario.
HP-98374,Hermès,Kelly 28 Sellier,Box Calf,Rouge H,Champagne,2023,N - Nuevo,Bajo Pedido (15 días),True,True,True,False,Consignment,12500,13066,16131,3065,19.0,Elegancia estructurada con costuras visibles.
HP-20746,Prada,Re-Edition 2005,Re-Nylon,Rouge H,Paladio (PHW),2020,A - Excelente,En Stock (24h),True,False,True,False,Consignment,1980,1576,1913,337,17.6,El icono del Y2K.
HP-83457,Chanel,Classic Flap Medium,Caviar,Gris Asfalto,Oro (GHW),2021,AB - Muy bueno,Bajo Pedido (15 días),True,True,True,True,Owned,10300,6162,10570,4408,41.7,El rey de la reventa. Piel resistente.
HP-66972,Celine,Belt Bag Nano,Grained Calf,Etoupe,Oro (GHW),2023,AB - Muy bueno,Bajo Pedido (15 días),True,True,True,False,Owned,2300,1354,1986,632,31.8,Funcionalidad y discreción.
HP-12677,Fendi,Peekaboo ISeeU Small,Selleria,Rouge H,Oro Viejo,2022,A - Excelente,En Stock (24h),False,True,True,False,Owned,5400,3954,5606,1652,29.5,Artesanía romana.
HP-92216,Gucci,Marmont Matelassé Small,Leather,Azul Marino,Champagne,2022,A - Excelente,En Stock (24h),True,True,True,False,Owned,2550,1420,2524,1104,43.7,El superventas de la década.
HP-48395,Loewe,Flamenco Clutch,Nappa Calf,Rouge H,Paladio (PHW),2023,AB - Muy bueno,En Stock (24h),True,True,True,False,Consignment,2450,1737,2101,364,17.3,Suavidad y nudos característicos.
HP-57926,Chanel,Classic Flap Medium,Caviar,Beige Trench,Paladio (PHW),2023,AB - Muy bueno,En Stock (24h),False,False,True,True,Consignment,10300,7816,9313,1497,16.1,El rey de la reventa. Piel resistente.
HP-36307,Hermès,Picotin Lock 18,Clemence,Gris Asfalto,Champagne,2024,A - Excelente,En Sourcing,False,False,True,False,Consignment,3400,2799,3304,505,15.3,El bucket bag de lujo por excelencia.
HP-17736,Chanel,Wallet on Chain (WOC),Caviar,Craie,Rutenio,2019,A - Excelente,Bajo Pedido (15 días),True,False,True,True,Owned,3500,2510,3413,903,26.4,El esencial de entrada a la marca.
HP-17550,Fendi,Fendi First Small,Nappa,Beige Trench,Champagne,2019,B - Buen estado,En Stock (24h),True,False,True,False,Consignment,3400,1946,2394,448,18.7,La F arquitectónica.
HP-95495,Chanel,Classic Flap Medium,Caviar,Verde,Oro Viejo,2020,A - Excelente,Bajo Pedido (15 días),False,False,True,True,Consignment,10300,8422,10074,1652,16.4,El rey de la reventa. Piel resistente.
HP-32276,Chanel,Classic Flap Medium,Caviar,Negro,Champagne,2024,N - Nuevo,Bajo Pedido (15 días),False,False,True,True,Owned,10300,7576,12214,4638,38.0,El rey de la reventa. Piel resistente.
HP-55007,Hermès,Evelyne III PM,Clemence,Gold,Oro Viejo,2025,A - Excelente,En Sourcing,True,True,True,True,Owned,3800,2616,4191,1575,37.6,Casual y funcional con la H perforada.
HP-42178,Bottega Veneta,The Pouch,Butter Calf,Etoupe,Champagne,2020,N - Nuevo,Bajo Pedido (15 días),False,False,True,False,Owned,3200,2341,4221,1880,44.5,El clutch que inició la era.
HP-81903,Dior,Book Tote Medium,Toile de Jouy,Gris Asfalto,Oro Viejo,2018,AB - Muy bueno,En Stock (24h),True,False,True,True,Consignment,3300,2264,2801,537,19.2,El bolso de viaje de la élite.
HP-35683,Bottega Veneta,Jodie Mini,Intrecciato,Rouge H,Rutenio,2023,AB - Muy bueno,Bajo Pedido (15 días),False,True,True,True,Consignment,2650,1709,2146,437,20.3,El nudo viral.
HP-95621,Hermès,Birkin 25,Togo,Beige Trench,Oro (GHW),2023,AB - Muy bueno,En Stock (24h),False,True,True,False,Owned,10400,5447,9426,3979,42.2,El bolso más deseado del mundo.
HP-27284,Dior,Book Tote Medium,Toile de Jouy,Verde,Oro (GHW),2025,A - Excelente,En Stock (24h),False,False,True,False,Consignment,3300,2695,3185,490,15.4,El bolso de viaje de la élite.
HP-24230,Dior,Saddle Bag,Oblique Jacquard,Etoupe,Paladio (PHW),2021,B - Buen estado,En Sourcing,True,False,True,True,Consignment,4200,2584,3219,635,19.7,El retorno del icono de los 2000.
HP-56644,Gucci,Jackie 1961 Small,GG Supreme,Gold,Rutenio,2021,A - Excelente,Bajo Pedido (15 días),False,True,True,False,Owned,2950,1746,2739,993,36.2,El hobo bag renacido.
HP-59548,Loewe,Hammock Compact,Soft Grain,Craie,Oro Viejo,2021,N - Nuevo,En Stock (24h),True,False,True,False,Consignment,2950,2866,3436,570,16.6,Versatilidad total.
HP-22899,Celine,Ava Bag,Triomphe Canvas,Beige Trench,Rutenio,2023,AB - Muy bueno,En Stock (24h),True,False,True,False,Owned,1700,948,1571,623,39.6,La silueta de media luna.
HP-16696,Hermès,Kelly 28 Sellier,Box Calf,Gris Asfalto,Rutenio,2023,A - Excelente,En Stock (24h),False,False,True,True,Consignment,12500,9746,11970,2224,18.6,Elegancia estructurada con costuras visibles.
HP-95434,Prada,Re-Edition 2005,Re-Nylon,Verde,Oro (GHW),2019,A - Excelente,En Stock (24h),False,False,True,False,Owned,1980,1301,1825,524,28.7,El icono del Y2K.
HP-91970,Louis Vuitton,Capucines BB,Taurillon,Craie,Oro Viejo,2021,AB - Muy bueno,En Sourcing,False,True,True,False,Consignment,6100,4142,4960,818,16.5,La apuesta de LV por el ultra-lujo.
HP-63346,Prada,Re-Edition 2005,Re-Nylon,Craie,Champagne,2019,AB - Muy bueno,Bajo Pedido (15 días),True,False,True,False,Owned,1980,989,1694,705,41.6,El icono del Y2K.
HP-18129,Dior,30 Montaigne,Box Calf,Negro,Paladio (PHW),2022,A - Excelente,En Stock (24h),False,True,True,True,Owned,3900,2607,3775,1168,30.9,Elegancia minimalista con cierre CD.
HP-75612,Prada,Galleria Saffiano Small,Saffiano,Negro,Rutenio,2025,B - Buen estado,Bajo Pedido (15 días),True,True,True,False,Owned,3600,1875,2719,844,31.0,El maletín ejecutivo.
HP-22726,Loewe,Puzzle Mini,Satin Calf,Negro,Paladio (PHW),2021,A - Excelente,En Sourcing,False,False,True,False,Owned,2400,1559,2166,607,28.0,El favorito de las influencers.
HP-97933,Hermès,Constance 18,Evercolor,Beige Trench,Oro Viejo,2022,A - Excelente,En Sourcing,False,False,True,False,Owned,8900,5521,9266,3745,40.4,La H icónica. Perfecto para crossbody.
HP-70865,Dior,Lady Dior ABC (Small),Lambskin,Verde,Paladio (PHW),2018,AB - Muy bueno,Bajo Pedido (15 días),True,False,True,True,Consignment,5900,4186,5165,979,18.9,El bolso de la Princesa Diana.
HP-34446,Gucci,Dionysus Small,GG Supreme,Negro,Rutenio,2019,N - Nuevo,Bajo Pedido (15 días),False,False,True,True,Owned,2980,2697,3768,1071,28.4,Cierre de cabeza de tigre mitológico.
HP-61392,Fendi,Peekaboo ISeeU Small,Selleria,Beige Trench,Oro Viejo,2018,AB - Muy bueno,Reservado,False,True,True,False,Consignment,5400,3756,4479,723,16.1,Artesanía romana.
HP-78258,Loewe,Hammock Compact,Soft Grain,Verde,Rutenio,2024,AB - Muy bueno,En Stock (24h),False,True,True,True,Owned,2950,1955,2708,753,27.8,Versatilidad total.
HP-64479,Louis Vuitton,Onthego GM,Giant Monogram,Beige Trench,Rutenio,2025,AB - Muy bueno,En Stock (24h),True,True,True,True,Owned,3100,2064,3172,1108,34.9,Maxi logo para impacto visual.
HP-83898,Hermès,Kelly 25 Retourne,Swift,Gris Asfalto,Oro (GHW),2018,N - Nuevo,Bajo Pedido (15 días),True,True,True,True,Consignment,11800,14508,17297,2789,16.1,Acabado suave y relajado.
HP-63365,Fendi,Peekaboo ISeeU Small,Selleria,Rouge H,Oro (GHW),2019,AB - Muy bueno,En Stock (24h),False,True,True,False,Consignment,5400,3804,4738,934,19.7,Artesanía romana.
HP-17666,Loewe,Flamenco Clutch,Nappa Calf,Verde,Oro (GHW),2020,B - Buen estado,Bajo Pedido (15 días),True,True,True,False,Owned,2450,1136,1647,511,31.0,Suavidad y nudos característicos.
HP-75556,Prada,Cleo Brushed,Spazzolato,Beige Trench,Oro (GHW),2021,A - Excelente,Bajo Pedido (15 días),True,False,True,False,Owned,2900,1976,2992,1016,33.9,Futurismo retro.
HP-54067,Hermès,Picotin Lock 18,Clemence,Gold,Rutenio,2021,B - Buen estado,Bajo Pedido (15 días),True,False,True,True,Consignment,3400,1981,2371,390,16.4,El bucket bag de lujo por excelencia.
HP-69160,Bottega Veneta,Jodie Mini,Intrecciato,Craie,Champagne,2025,N - Nuevo,En Stock (24h),False,False,True,False,Consignment,2650,2741,3285,544,16.5,El nudo viral.
HP-94148,Prada,Galleria Saffiano Small,Saffiano,Rouge H,Oro Viejo,2024,N - Nuevo,Bajo Pedido (15 días),False,True,True,False,Consignment,3600,3874,4629,755,16.3,El maletín ejecutivo.
HP-50146,Bottega Veneta,Jodie Mini,Intrecciato,Craie,Oro Viejo,2025,A - Excelente,En Stock (24h),True,False,True,False,Consignment,2650,2225,2703,478,17.7,El nudo viral.
HP-52935,Bottega Veneta,Cassette Padded,Lambskin,Etoupe,Paladio (PHW),2024,B - Buen estado,En Stock (24h),True,False,True,False,Consignment,4500,2621,3274,653,19.9,El Intrecciato maxi.
HP-13284,Chanel,Classic Flap Small,Lambskin,Rouge H,Paladio (PHW),2023,A - Excelente,Bajo Pedido (15 días),False,True,True,False,Consignment,9600,7776,9171,1395,15.2,"Suavidad extrema, cuidado delicado."
HP-32904,Gucci,Horsebit 1955,GG Supreme,Beige Trench,Oro Viejo,2025,AB - Muy bueno,En Stock (24h),False,False,True,False,Owned,2890,1684,2671,987,36.9,Estilo ecuestre vintage.
HP-30283,Hermès,Birkin 30,Epsom,Negro,Oro Viejo,2018,A - Excelente,En Sourcing,True,False,True,True,Consignment,11200,9077,11004,1927,17.5,"Tamaño clásico, estructura rígida."
HP-22295,Hermès,Evelyne III PM,Clemence,Negro,Paladio (PHW),2018,B - Buen estado,En Stock (24h),True,True,True,False,Owned,3800,1636,2796,1160,41.5,Casual y funcional con la H perforada.
HP-59153,Dior,Lady Dior ABC (Small),Lambskin,Negro,Paladio (PHW),2019,A - Excelente,Bajo Pedido (15 días),True,True,True,False,Owned,5900,3198,5780,2582,44.7,El bolso de la Princesa Diana.
HP-35975,Celine,Triomphe Classique,Shiny Calf,Azul Marino,Oro (GHW),2020,B - Buen estado,En Stock (24h),False,False,True,False,Consignment,3950,2414,2866,452,15.8,El nuevo clásico parisino.
